Gender,acc,acq,acs,acu,ape,apf,api
Female,422.73716,438.7833,399.8364,437.06964,439.25068,441.58748,454.20626
Male,571.74794,533.2684,519.40334,554.6113,548.22402,500.24146,521.58436
Female,390.80076,371.63888,361.20112,354.9696,395.63014,403.10796,400.61534
Female,430.60444,398.97958,362.21376,394.46176,423.59402,407.08054,411.59838
Male,448.28636,368.67892,415.57094,416.97302,393.13756,412.76678,421.02352
Female,419.69934,367.9779,376.3904,415.96042,408.48262,361.12324,408.01526
Male,586.78144,523.53168,526.1801,537.55256,540.04516,560.45332,556.40288
Female,408.56052,389.86602,349.82864,422.26984,451.86946,387.84078,353.25596
Female,488.09002,467.6819,471.73236,498.37204,493.23104,432.00656,436.83596
Male,587.40458,565.12696,540.04518,602.67176,568.5543,578.99204,562.63436
Female,478.11962,436.36858,422.8151,475.00388,446.02742,414.24676,417.36252
Male,488.32376,474.45866,379.27246,456.07572,473.52392,467.13664,457.4778
Male,351.07494,346.71288,348.27078,357.92958,348.89388,314.30906,381.29768
Female,364.39476,308.46704,285.09892,313.45226,362.36954,254.40878,279.95796
Female,464.25454,424.84032,384.17978,434.03178,458.9578,401.00484,419.85512
Female,525.16746,475.78282,419.38776,524.7001,460.98302,471.265,521.42856
Male,406.84686,404.82164,421.95822,389.24288,380.51874,395.63014,392.04704
Female,535.76102,552.43028,474.5365,554.9229,576.26578,528.7506,547.4451
Female,467.68188,445.0927,411.44262,461.76194,493.5426,435.27808,433.40862
Male,546.58826,497.67098,514.96338,555.62394,517.1444,511.0687,534.12524
Female,409.72894,371.87256,388.69764,422.03614,413.93518,355.2033,418.45302
Female,537.3968,533.65788,501.87724,493.15312,526.95902,480.22278,479.28806
Female,428.26766,437.14754,412.53312,432.6297,450.70104,426.3982,470.01866
Male,686.71912,601.97072,636.86712,642.63126,646.68172,607.1117,670.51722
Male,514.8855,441.3538,468.30502,504.44774,484.19536,494.00998,524.7001
Male,394.22806,392.82596,364.94002,462.61878,419.62144,373.97568,411.98784
Male,480.84592,474.77022,473.83546,511.69186,490.66054,485.67534,532.87896
Male,478.74278,483.10484,432.94128,475.15968,524.85588,463.00826,472.19972
Male,538.79886,548.45772,465.57876,498.44992,525.8685,543.78408,547.05562
Male,623.93674,587.0151,594.6487,667.08988,614.7453,621.59996,623.00204
Male,370.62626,362.68112,330.27732,387.45134,371.71678,358.63064,356.4496
Male,601.26964,581.1731,532.87894,603.60648,599.08864,589.5856,587.87194
Female,469.47342,447.81898,465.26718,470.09662,487.38902,463.8651,481.62486
Female,451.16842,415.02572,403.18584,454.12838,434.49914,427.33292,398.35644
Female,399.52484,368.52316,369.76944,415.1036,408.8721,358.39694,414.79202
Female,427.72238,403.7311,353.56752,398.27854,400.92694,429.43606,396.09752
Male,460.43776,516.2097,480.37858,548.30194,505.46036,492.99736,518.39072
Female,539.18834,497.12574,514.7297,556.16918,544.9525,517.0665,511.92554
Female,390.64494,372.7294,333.9383,401.39428,410.58576,355.43696,374.75464
Female,304.65026,261.96448,278.16638,327.55102,285.17682,301.22292,356.21592
Female,438.00434,452.80416,419.30986,482.24802,435.66754,388.7755,422.26982
Male,527.0369,502.2667,428.26766,550.09348,499.15096,454.28414,541.83672
Female,432.86338,441.58746,374.59884,514.49604,447.97476,394.07228,427.09924
Female,460.51566,439.17278,379.1946,484.97428,452.72628,448.52002,444.15796
Female,323.73424,252.85088,283.54106,346.635,265.62548,242.25734,312.05018
Male,439.32854,466.59136,460.20408,459.58092,492.45208,448.36422,436.5244
Female,370.54838,318.35956,348.27076,387.99656,346.5571,356.2159,324.90264
Female,425.54134,394.22806,381.2977,444.39164,412.29942,401.08272,439.87382
Male,399.52486,416.1941,354.96962,458.10094,402.32902,386.90606,414.01308
Female,363.61584,357.22856,317.34694,362.05794,407.08056,342.42872,405.2111
Female,321.86478,282.6063,294.91354,378.57142,346.7908,312.20594,308.15548
Female,412.92254,395.31858,393.13754,457.78938,413.38992,357.77378,402.95218
